BIST,BIRA
TP_BIST_CAA,TP_BIRA_CAA
TP_BIST_CDM,TP_BIRA_CDM
TP_BIST_CLC,TP_BIRA_CLC
TP_BIST_CLM,TP_BIRA_CLM
TP_BIST_PEX,TP_BIRA_PEX
TP_BIST_PRC,TP_BIRA_PRC
TP_BIST_PRE,TP_BIRA_PRE
TP_BIST_PRM,TP_BIRA_PRM
TP_BIST_PSC,TP_BIRA_PSC
TP_BIST_PSM,TP_BIRA_PSM
TP_BIST_QAC,TP_BIRA_QAC
TP_BIST_QLM,TP_BIRA_QLM
TP_BIST_RDM,TP_BIRA_RDM
TP_BIST_SBC,TP_BIRA_SBC
TP_BIST_SCHA,TP_BIRA_SCHA
TP_BIST_SCHB,TP_BIRA_SCHB
TP_BIST_WAC,TP_BIRA_WAC
TP_BIST_ETHCPUBTM,TP_BIRA_ETHCPUBTM
TP_BIST_ETHCPUTOP,TP_BIRA_ETHCPUTOP
TP_BIST_HOSTBTM,TP_BIRA_HOSTBTM
Q3_BIST_MAU10_.*GLUE,Q3_BIRA_MAU10_.*GLUE
Q3_BIST_MAU11_.*GLUE,Q3_BIRA_MAU11_.*GLUE
Q3_BIST_MAU12_.*GLUE,Q3_BIRA_MAU12_.*GLUE
Q3_BIST_MAU13_.*GLUE,Q3_BIRA_MAU13_.*GLUE
Q3_BIST_MAU14_.*GLUE,Q3_BIRA_MAU14_.*GLUE
Q3_BIST_MAU15_.*GLUE,Q3_BIRA_MAU15_.*GLUE
Q3_BIST_MAU16_.*GLUE,Q3_BIRA_MAU16_.*GLUE
Q3_BIST_MAU17_.*GLUE,Q3_BIRA_MAU17_.*GLUE
Q3_BIST_MAU18_.*GLUE,Q3_BIRA_MAU18_.*GLUE
Q3_BIST_MAU19_.*GLUE,Q3_BIRA_MAU19_.*GLUE
Q3_BIST_MAU20_.*GLUE,Q3_BIRA_MAU20_.*GLUE
# BIST BIRA naming convention seems to change
# This list is being used for convenience to reduce additional parsing, till naming is sorted out
